"","true","tpm","rf","brt_tpm","brt","brt_sprs"
"1755",102,2943.86433519569,2667.60655897858,3300.73834752512,3113.5620756493,3123.30430770918
"1756",140,2817.11935793468,2700.10869382616,3297.57995656976,2980.47464707203,2944.94520432616
"1757",0,2958.08387151025,1416.31357818428,1824.52648098624,1085.21382019709,2150.06975867298
"1758",3111,12197.0281539077,10362.4449529537,12155.2516653479,13404.7882630204,12478.4241516271
"1759",0,1152.91193052993,1290.22101271893,742.514817758712,903.642547877192,438.114224993013
"1760",119,2027.12405074468,1647.85159812403,1962.37483685305,2106.16639993826,2242.84236835739
"1761",845,993.92567516317,1328.45634690123,1586.2748929999,2213.66043503352,2406.04619571476
"1762",0,2889.1490537499,7360.85197539421,1647.74238305032,1805.47822091798,1813.3557164616
"1763",0,2077.19390159655,3009.42443315994,3259.78163726221,3113.39049293996,3033.50108106979
"1764",428,1627.52357401531,2281.65671149922,3226.81657389704,3825.78037366886,3487.06806762705
"1765",1345,1624.12440978845,701.633947521592,2317.82794090656,2595.90095014557,2049.57930074604
"1766",26,3097.76678350005,2403.059359715,2245.73568103119,2319.46966999632,2293.93167843886
"1767",194,2823.02959558069,2804.18513206135,5850.77327144249,4863.00398976766,5239.85753912581
"1768",197,9938.64539414906,5291.44398496733,7866.12968445986,8189.23145833342,7933.41237240744
"1769",0,3082.83106654372,6853.20592913328,3802.60079142907,3328.38135816176,3125.15408180137
"1770",0,1758.0196670058,1861.26206974466,2794.07926614505,3655.95576788654,3359.69616179099
"1771",0,1179.92112575026,2815.97998550517,3024.75835515242,2755.94825841924,2364.64807983172
"1772",2568,3821.92967533592,5743.53299268632,2852.63881410553,2559.93141895217,2448.88330883977
"1773",424,1436.04047216925,593.55068995116,860.821563110767,812.559031846077,865.725512646915
"1774",0,2001.92658249254,1210.99280490609,1347.22967462272,1521.48350531366,1708.62660615361
"1775",1972,13750.4662659836,9251.6365648384,9840.07364664805,10742.6340834571,11419.6546260043
"1776",499,3492.05011424005,2331.26458049037,3605.86076550651,4180.39691401353,4092.65193491889
"1777",0,3260.54103542674,3259.82691293873,2500.21368026774,2431.35366937349,2393.75770066266
"1778",0,1935.05327439976,3024.71833636037,2645.86852347905,3291.8693449547,2963.73533902125
"1779",0,508.76713727329,1216.95458756422,182.748564634133,345.562093340094,228.28010359791
"1780",74,2433.60000915092,765.504291891413,1150.90938344622,790.608559522342,983.855805408508
"1781",2866,8147.26719355069,6976.6122213207,7453.5207115175,6491.93185550024,6878.2826772536
"1782",643,2786.75275336175,3393.46187217623,2683.37428118888,3111.34578660071,2532.02258060378
"1783",48694,8382.89904019845,6602.48076473745,8365.65013482036,8706.65784600694,7708.59349189614
"1784",0,1161.07384935609,330.584210184256,364.874691239454,294.546414269414,238.703059296431
"1785",309,1309.77146501211,1550.12850926935,1236.04799475612,1308.04740206212,1339.80075042069
"1786",13929,4118.24797718344,4517.31234693817,4588.68417512314,4312.90807250205,4322.94894901885
"1787",0,1118.02256917529,846.659303918583,1050.78517188268,1445.22246751584,1205.91028907967
"1788",344,969.35320446179,1147.01777361238,2153.79456856823,2127.19755128422,1814.89156279875
"1789",324,1729.44876680107,1047.59346456078,1802.13785728817,2070.69695598247,2115.25847532455
"1790",56180,7051.91021775607,11583.8107377918,8142.01869467501,8097.53904592371,7963.12779881223
"1791",239,3322.13651412449,2405.60358092865,5489.26166158049,4606.93970819735,5105.22363925182
